전체순위,광역순위,기초순위,지역명_정책,지역유형,행정적_강도,집중도_지수,청년1인당_정책예산_원,전체1인당_총예산_원,재정자립도,총예산_백만원,청년정책예산_백만원,청년인구,전체인구,일자리_점수,일자리_정책수,주거_점수,주거_정책수,교육_점수,교육_정책수,복지·문화_점수,복지·문화_정책수,참여·권리_점수,참여·권리_정책수,전략적_강도,엔트로피,정규화_엔트로피,행정적_강도_정규화,전략적_강도_정규화,종합점수,지역명_정제,지역명_이동,전입,전출,순이동,순이동률_인구대비
9,0,8,강원도 동해시,기초자치단체,0.2017867835702161,0.03487958626235,217452.1354933726,6234366.825850111,0.156,519584.6,2953.0,13580,83342,0.9209753976083528,11,0.9057811183434152,3,0.8464558322376003,3,0.7835040786528417,4,0.7629239408276237,4,5.124627598768036,2.1013152774012367,0.9049872310982018,0.2143183254868995,0.9032981058354876,0.5588082156611935,강원도 동해시,강원도 동해시,2975,3453,-478,-3.5196230027243947
10,13,9,세종특별자치시,기초자치단체,0.1009147829371613,0.0607363168606896,409812.4621899577,6747403.915353328,0.5720000000000001,2503293.6,33871.0,82650,371001,0.92414180150071,20,0.9241415817279918,7,0.9241409981457142,9,0.9241418199783192,20,0.9203134640288494,8,5.551865463412009,2.170969792767523,0.9349857980304244,0.1068952397052769,0.9936823966599408,0.5502888181826089,세종특별자치시,세종특별자치시,20371,31468,-11097,-13.426334829584638
11,0,10,경기도 군포시,기초자치단체,0.1179444058752237,0.0409343688593099,164260.20883044798,4012770.0367142535,0.327,1008814.4,9706.3,59091,251401,0.9166430604253804,10,0.8255176774251182,2,0.924017244627116,7,0.9227941680147312,9,0.9129747754085422,7,5.442954664756233,2.184952306354655,0.9410077388553448,0.1250308435817078,0.97064177663477,0.547836310108239,경기도 군포시,경기도 군포시,9599,10782,-1183,-2.001963040682326
12,0,11,전라남도 화순군,기초자치단체,0.2835593585330129,0.0472100683775008,658732.7114827919,13953225.10900508,0.144,774431.9,6144.0,9327,55502,0.8897408115865028,8,0.8255176774251182,2,0.8464558322376003,3,0.8596596586835148,5,0.2342275876890973,1,4.524799678932448,2.0182155146751497,0.869198111310615,0.3014015822844669,0.7764015321991002,0.5389015572417836,전라남도 화순군,전라남도 화순군,1330,1665,-335,-3.5913379073756433
15,0,12,전라북도 부안군,기초자치단체,0.3666606446353057,0.0389759196103972,736618.2204891882,18899315.98413618,0.088,848239.1,4156.0,5642,44882,0.5397404182225715,4,0.5451988715434295,1,0.6866271535089449,2,0.4548979538746299,2,0.9229933126569622,9,3.975622756983654,1.9182958340544891,0.8261650471771163,0.3898998427482776,0.6602204285676102,0.525060135657944,전라북도 부안군,전라북도 부안군,820,1221,-401,-7.106149211412369
17,0,13,경기도 용인시,기초자치단체,0.0210551927441603,0.0101923618581647,35839.739483237245,3516333.1112039937,0.479,3567052.7,8056.2,224784,1014424,0.9166430604253804,10,0.9239399643935448,5,0.924017244627116,7,0.9241379831386228,13,0.9229933126569622,9,5.581728167827279,2.2522623634889185,0.9699966025856528,0.0218492055833286,1.0,0.5109246027916643,경기도 용인시,경기도 용인시,48028,46820,1208,0.5374024067442222
19,0,14,경기도 성남시,기초자치단체,0.025480481830993,0.0153814989733038,85221.99866534874,5540552.244827388,0.596,4806706.1,16985.0,199303,867550,0.855611774007365,7,0.8255176774251182,2,0.924017244627116,7,0.9227941680147312,9,0.8948517107873377,6,5.370809160678954,2.201226345028352,0.948016585817286,0.0265618930109588,0.9553790371591117,0.4909704650850353,경기도 성남시,경기도 성남시,43975,42264,1711,0.8584875366274636
21,0,15,서울특별시 성동구,기초자치단체,0.0317253802727559,0.0111207281232138,31769.438916488896,2856776.8732851273,0.345,753812.0,2219.0,69847,263868,0.855611774007365,7,0.9239399643935448,5,0.6866271535089449,2,0.8962857501780289,6,0.9129747754085422,7,5.231853667502033,2.220725117438646,0.9564142500056078,0.0332123634764686,0.9259823128836916,0.47959733818008,서울특별시 성동구,서울특별시 성동구,16400,14866,1534,2.1961974573359293
22,0,16,전라남도 고흥군,기초자치단체,0.3086464025746739,0.024587496704938,389551.6992046276,15843487.601826156,0.068,884938.0,2155.0,5532,55855,0.7930692900011372,6,0.9057811183434152,3,0.1939941972355606,0,0.282778899218116,1,0.7629239408276237,4,3.8327726742799975,1.7884504573082896,0.8942252286541448,0.3281178927292068,0.6299997845473432,0.479058838638275,전라남도 고흥군,전라남도 고흥군,1111,1325,-214,-3.8677028736670884
23,0,17,광주광역시 북구,기초자치단체,0.0166441518184229,0.0022321971746995,5616.8342219870565,2516280.4996127035,0.133,1039525.8,552.0,98276,413120,0.7930692900011372,6,0.8255176774251182,2,0.8464558322376003,3,0.9200174426536876,8,0.9129747754085422,7,5.230537321021267,2.16520329656826,0.9325023032951824,0.0171516916569868,0.925703833252111,0.4714277624545489,광주광역시 북구,광주광역시 북구,21006,21043,-37,-0.03764868687485373
