지역명,전략적_강도_엔트로피,행정적_강도_최종지수2,총_정책수,청년정책_예산_백만원,지자체_전체예산_백만원,정책_분야수,청년인구,재정자립도,A_청년정책예산비율,B_청년인구비율,집중도지수,전략적_강도_정규화,행정적_강도_정규화,종합점수,전략적강도_순위,행정적강도_순위,종합점수_순위
무주군,0.5117,0.78862,9,18.63,602985.0,3,2232,0.072,3.09e-05,0.000357,0.086426,0.5161908604862303,0.45289641990737334,0.48454364019680185,112.0,4.0,21.0
금천구,0.9482,0.012249,20,19.16,756213.6,5,54388,0.236,2.534e-05,0.008711,0.002909,0.9565217391304348,0.007009598066602955,0.4817656685985189,14.0,61.0,22.0
전라북도,0.9046,0.075753,94,2913.05,9861808.1,5,66958,0.35,0.00029539,0.010724,0.027544,0.9125390900837285,0.043481332242887596,0.47801021116330805,23.0,31.0,23.0
전라남도 나주시,0.9463,0.000968,9,4.1,10000000.0,5,17390,0.152,4.1e-07,0.002785,0.000147,0.9546050640572986,0.0005306733808718664,0.47756786871908524,16.0,117.0,24.0
영주시,0.9256,0.036771,15,10.82,1194502.9,5,13130,0.115,9.06e-06,0.002103,0.004307,0.9337233935236559,0.02109311824597515,0.4774082558848155,19.0,41.0,25.0
광주광역시 북구,0.9325,0.000292,26,5.52,10000000.0,5,88828,0.133,5.5e-07,0.014227,3.9e-05,0.9406839503682034,0.00014243181651106375,0.47041319109235724,17.0,133.0,26.0
거제시,0.9284,0.003279,8,4.36,1422933.1,5,35302,0.165,3.06e-06,0.005654,0.000542,0.9365479673156462,0.001857931154892303,0.46920294923526923,18.0,92.0,27.0
인천광역시,0.9101,0.02957,71,1051.7,15379013.7,5,27150,0.524,6.839e-05,0.004348,0.015726,0.9180873600322809,0.01695742667058737,0.46752239335143414,21.0,47.0,28.0
광주광역시,0.8761,0.075246,93,898.78,7467959.8,5,22731,0.423,0.00012035,0.003641,0.033057,0.8837889639866842,0.04319015106961699,0.4634895575281506,31.0,32.0,29.0
제주특별자치도,0.9051,0.021451,111,806.35,8070231.1,5,86400,0.333,9.992e-05,0.013838,0.00722,0.9130434782608696,0.012294507645372346,0.46266899295312097,22.0,54.0,30.0
영천시,0.8979,0.031055,12,10.54,1223400.0,5,13323,0.128,8.62e-06,0.002134,0.004037,0.9057802885100374,0.01781029460413144,0.46179529155708443,25.0,46.0,31.0
고창군,0.7801,0.230003,14,14.11,835694.4,4,5160,0.079,1.688e-05,0.000826,0.02043,0.7869464339755876,0.13207047618172463,0.4595084550786561,42.0,13.0,32.0
대전광역시,0.8787,0.055319,70,1420.27,7540100.2,5,48881,0.423,0.00018836,0.007829,0.024059,0.886411782507818,0.03174563974858487,0.4590787111282015,30.0,36.0,33.0
경상남도,0.8834,0.046894,122,2149.61,12742649.6,5,65097,0.337,0.00016869,0.010426,0.01618,0.8911530313729447,0.026906978240094092,0.4590300048065194,29.0,37.0,34.0
전라남도 무안군,0.8887,0.007532,17,21.75,10000000.0,5,13608,0.132,2.17e-06,0.00218,0.000998,0.8964995460506406,0.004300521943688892,0.4504000339971648,27.0,72.0,35.0
달서구,0.8895,0.003216,22,12.24,1018223.8,5,110417,0.211,1.202e-05,0.017685,0.00068,0.8973065671340664,0.0018217488789237667,0.4495641580064951,26.0,94.0,36.0
경상북도,0.8129,0.132534,179,2610.74,13372746.4,5,33996,0.253,0.00019523,0.005445,0.035855,0.8200342983960456,0.07609190068367273,0.4480630995398592,37.0,22.0,37.0
전라남도 화순군,0.8692,0.033599,19,61.44,10000000.0,5,7796,0.144,6.14e-06,0.001249,0.004921,0.8768284071421366,0.019271369367051382,0.448049888254594,32.0,44.0,38.0
전라남도 여수시,0.8844,0.00194,23,35.8,10000000.0,5,42786,0.269,3.58e-06,0.006853,0.000522,0.8921618077272269,0.0010889142101007132,0.4466253609686638,28.0,106.0,39.0
광주광역시 동구,0.7128,0.259135,15,1680.05,10000000.0,4,22731,0.156,0.000168,0.003641,0.046146,0.7190557853323918,0.14880162004704844,0.4339287026897201,68.0,11.0,40.0
순창군,0.7564,0.180857,9,3.75,570227.1,4,2557,0.081,6.58e-06,0.00041,0.016058,0.7630384343790981,0.10384485499522164,0.4334416446871599,53.0,17.0,41.0
관악구,0.8492,0.002786,11,14.58,1055110.7,5,155403,0.199,1.382e-05,0.02489,0.000555,0.8566528800564914,0.0015747904873924868,0.42911383527194197,33.0,97.0,42.0
장수군,0.5321,0.553625,8,9.19,515519.1,3,2150,0.07,1.783e-05,0.000344,0.051768,0.5367698981135882,0.3179336589355289,0.4273517785245585,102.0,6.0,43.0
진주시,0.8146,0.008834,25,40.42,2299433.4,5,65097,0.19,1.758e-05,0.010426,0.001686,0.8217492181983255,0.005048288980371976,0.41339875358934874,36.0,68.0,44.0
강동구,0.8097,0.001484,9,6.25,1120081.6,5,91654,0.256,5.58e-06,0.01468,0.00038,0.8168062140623424,0.0008270234507094024,0.4088166187565259,38.0,110.0,45.0
김해시,0.7967,0.004761,17,44.68,2168409.6,5,95602,0.282,2.06e-05,0.015312,0.001346,0.803692121456673,0.002709076122914063,0.40320059878979353,39.0,81.0,46.0
정읍시,0.7225,0.130979,15,37.99,1339152.9,4,13184,0.096,2.837e-05,0.002112,0.013435,0.7288409159689297,0.07519883022127473,0.40201987309510223,63.0,23.0,47.0
전라남도 광양시,0.7923,0.003229,11,28.12,10000000.0,4,24020,0.226,2.81e-06,0.003847,0.000731,0.7992535054978311,0.0018292150628537822,0.4005413602803425,40.0,93.0,48.0
구미시,0.7891,0.001893,14,16.02,2308603.3,5,82854,0.276,6.94e-06,0.01327,0.000523,0.796025421164128,0.0010619210835845034,0.39854367112385625,41.0,107.0,49.0
울산광역시 남구,0.78,0.000486,13,13.13,10000000.0,4,63606,0.265,1.31e-06,0.010187,0.000129,0.7868455563401594,0.0002538502536205249,0.39354970329689,43.0,126.0,50.0
전라남도 보성군,0.7673,0.012554,6,5.8,10000000.0,4,3539,0.081,5.8e-07,0.000567,0.001023,0.7740340966407747,0.007184766228037932,0.39060943143440635,48.0,60.0,51.0
영도구,0.7688,0.008134,5,1.02,406288.4,4,17937,0.107,2.51e-06,0.002873,0.000874,0.7755472611721982,0.0046462636918326835,0.3900967624320154,44.0,69.0,52.0
수영구,0.7688,0.007705,5,3.71,435501.6,4,34384,0.2,8.52e-06,0.005507,0.001547,0.7755472611721982,0.004399879622142174,0.3899735703971702,44.0,71.0,53.0
전라남도 해남군,0.7623,0.018751,8,15.85,10000000.0,4,6790,0.077,1.58e-06,0.001088,0.001457,0.7689902148693635,0.010743838675292215,0.3898670267723278,50.0,56.0,54.0
송파구,0.7688,0.001692,13,19.07,1330580.1,4,141293,0.374,1.433e-05,0.02263,0.000633,0.7755472611721982,0.0009464823935896493,0.3882468717828939,44.0,108.0,55.0
은평구,0.7629,0.004595,18,14.33,1131582.7,4,94853,0.181,1.266e-05,0.015192,0.000834,0.7695954806819328,0.002613738697346174,0.3861046096896395,49.0,82.0,56.0
중구,0.7623,0.002333,8,3.75,629343.0,4,28541,0.558,5.96e-06,0.004571,0.001303,0.7689902148693635,0.0013146226935234872,0.38515241878144346,50.0,103.0,57.0
인천광역시 계양구,0.7623,0.001043,8,16.8,10000000.0,4,60570,0.166,1.68e-06,0.009701,0.000173,0.7689902148693635,0.0005737475189296479,0.3847819811941466,50.0,115.0,58.0
전주시,0.7548,0.006834,29,47.09,2679106.2,4,66958,0.239,1.758e-05,0.010724,0.001639,0.7614243922122466,0.00389964529883114,0.38266201875553885,55.0,74.0,59.0
대전광역시 서구,0.7564,0.000621,18,13.44,7540100.2,4,106675,0.168,1.78e-06,0.017086,0.000104,0.7630384343790981,0.00033138370212453135,0.3816849090406113,53.0,122.0,60.0
남구,0.7471,0.000246,11,4.42,1760317.1,4,105423,0.604,2.51e-06,0.016885,0.000149,0.7536568142842732,0.00011601301183562451,0.3768864136480544,56.0,138.0,61.0
용산구,0.7336,0.018531,13,50.37,800080.8,4,50398,0.417,6.296e-05,0.008072,0.007799,0.7400383335014628,0.010617487870322722,0.3753279106858927,59.0,57.0,62.0
칠곡군,0.7245,0.03417,8,13.53,678500.0,4,17910,0.2,1.994e-05,0.002869,0.006952,0.7308584686774943,0.01959930713813129,0.3752288879078128,62.0,43.0,63.0
전라남도 고흥군,0.7154,0.040116,14,21.55,10000000.0,4,4834,0.068,2.16e-06,0.000774,0.002783,0.7216786038535258,0.0230142248033522,0.372346414328439,67.0,39.0,64.0
광진구,0.7369,0.001163,7,4.32,976997.6,4,90894,0.261,4.42e-06,0.014558,0.000304,0.7433672954705942,0.000642666139822098,0.37200498080520816,57.0,113.0,65.0
전라남도 영암군,0.7346,0.005154,9,6.34,10000000.0,4,6901,0.111,6.3e-07,0.001105,0.000574,0.7410471098557451,0.0029347846063368373,0.3719909472310409,58.0,79.0,66.0
인천광역시 남동구,0.7302,0.000617,15,19.38,10000000.0,4,100102,0.196,1.94e-06,0.016033,0.000121,0.7366084938969031,0.0003290864147614497,0.3684687901558323,60.0,123.0,67.0
광주광역시 광산구,0.7293,0.000129,16,3.55,10000000.0,4,83535,0.206,3.6e-07,0.013379,2.7e-05,0.735700595178049,4.881735646548555e-05,0.3678747062672572,61.0,143.0,68.0
울산광역시 울주군,0.716,0.002497,11,47.36,10000000.0,4,36392,0.325,4.74e-06,0.005829,0.000813,0.722283869666095,0.001408811475409836,0.36184634057075243,65.0,100.0,69.0
강남구,0.716,0.002111,11,37.93,1760317.1,4,105423,0.604,2.155e-05,0.016885,0.001276,0.722283869666095,0.0011871232448724546,0.36173549645548375,65.0,104.0,70.0
인천광역시 미추홀구,0.717,5.7e-05,6,1.09,10000000.0,4,83815,0.142,1.1e-07,0.013424,8e-06,0.7232926460203772,7.46618393001544e-06,0.3616500561021536,64.0,148.0,71.0
고성군,0.5761,0.242083,5,5.43,455493.8,3,3274,0.083,1.192e-05,0.000524,0.022734,0.5811560577020074,0.13900828401823126,0.36008217086011934,89.0,12.0,72.0
울산광역시 중구,0.7044,0.000422,10,4.18,10000000.0,4,36589,0.169,4.2e-07,0.00586,7.1e-05,0.7105820639564209,0.00021709365581121812,0.35539957880611606,69.0,128.0,73.0
인천광역시 부평구,0.7011,0.00027,9,7.25,10000000.0,4,99328,0.169,7.3e-07,0.015909,4.6e-05,0.7072531019872894,0.00012979673601411454,0.35369144936165176,70.0,137.0,74.0
인천광역시 중구,0.7,0.000771,8,13.25,10000000.0,4,27150,0.395,1.33e-06,0.004348,0.000305,0.7061434479975789,0.0004175319782400941,0.3532804899879095,71.0,119.0,75.0
서초구,0.6929,0.003747,17,29.93,1090781.2,4,79637,0.573,2.744e-05,0.012755,0.002151,0.6989811358821749,0.0021267137763728585,0.3505539248292739,72.0,87.0,76.0
