번호,정책유형,정책명,정책 요약,주관기관
415,교육,2024학년도 국가장학금 전년 대비 최대 50만 원 추가 지원,"□ 기초‧차상위 모든 자녀 등록금 전액 지원, 1~3구간 50만 원, 4~6구간 30만 원 추가 지원 □ 근로장학금 지원 인원 2만 명 확대 및 근로 단가 인상 □ 2월 1일(목) ~ 3월 14일(목)까지 2024학년도 1학기 2차 국가장학금 신청‧접수",교육부
416,일자리,2024년 신사업창업사관학교 예비창업자 모집,창의·혁신적인 아이템 등을 보유한 예비 소상공인의 성공적인 창업을 지원,중소벤처기업부
417,교육,2024년「대학원 대통령과학장학금」신규 장학생 선발 공고,"우수 이공계 대학원생을 선발하여, 학업에 전념하고 세계 최고 연구인력으로 성장할 수 있도록 장학금을 지원",한국장학재단
418,복지.문화,"대중교통비 환급 지원 사업(K-패스)(4.24부터 카드 발급, 5.1 부터 혜택시작)",5.1부터 K-패스로 대중교통비 20~53%까지 돌려받음,국토교통부
419,복지.문화,2024년 자영업자 고용보험료 지원사업,50명 미만 근로자를 고용하는 자영업자에게 고용보험료 최대 80% 지원,중소벤처기업부
420,복지.문화,"영세 소상공인 전기요금 특별지원 사업(연 매출 6,000만원 이하까지로 대상 확대)",최근 전기요금 인상에 따라 경영난을 겪는 영세 소상공인들을 위한 ｢소상공인 전기요금 특별지원 사업｣,중소벤처기업부
421,일자리,청년예술가도약지원 (추가 공모),"청년예술가에게 후속 발표 활동의 기회를 제공하여, 청년예술가의 지속가능한 성장 지원",문화체육관광부
422,주거,청년월세 특별지원 사업(2차),"19세~34세 청년 대상 월 최대 20만원까지, 12개월 간 월세 지원",국토교통부
423,복지.문화,산모·신생아 건강관리 지원사업,출산가정에 건강관리사를 파견하여 산후관리를 지원함으로써 산모와 신생아의 건강을 증진하고 출산가정의 경제적 부담을 경감합니다.,사회서비스사업과
424,복지.문화,청년사회서비스사업단(신체건강증진서비스),지역별 청년사회서비스사업단을 구성하여 지역 청년이 주체가 되어 지역 사회서비스를 제공함으로써 청년의 사회활동 참여 기회 보장과 지역주민 삶의 질 향상,□
425,교육,일학습병행,"기업이 (학습)근로자를 채용하여 체계적인 맞춤형 훈련을 제공하고 훈련 종료 후 역량을 평가하여 국가자격, 학력 등 인정",고용노동부
426,일자리,해외취업정착지원금,해외취업에 성공한 도전적인 청년의 원활한 현지 정착과 장기근속을 위해 지원금 지급,고용노동부
427,일자리,해외취업알선,"대한민국 인재채용을 희망하는 해외업체에 구인서비스, 해외취업을 희망하는 구직자에게 일자리정보 제공",고용노동부
428,일자리,청년친화강소기업 선정,중소·중견기업 인식개선 및 양질의 일자리 정보 제공 등을 위해 청년이 선호하는 근로여건을 갖춘 '청년친화강소기업'을 선정하여 기업정보 제공 및 홍보 등 지원,고용노동부
429,교육,취업특강,"고용시장에 대해 이해하고 구직에 필요한 근로기준법, 일자리정보 수집방법, 이력서/자기소개서 작성방법 및 면접요령 등을 빠르게 알 수 있도록 50명 내외로 진행하는 강의식 프로그램",고용노동부
430,교육,취업희망프로그램,"취업준비에 도움을 필요로 하는 경우, 자신을 돌아보고 이해하며 긍정적인 측면을 찾도록 하여 자신감 회복과 취업 희망(인간관계 향상과 취업 및 원만한 사회생활 적응)을 돕는 프로그램",고용노동부
431,교육,취업능력향상(행복오름) 프로그램,"근로능력수급자의 근로의욕 증진과 경력설계를 돕기 위해, 대상자의 취업능력 향상을 지원하고 맞춤형 취업지원이 이루어질 수 있도록 마련된 프로그램",고용노동부
432,참여.권리,청소년 근로권익센터,"청소년·청년 근로자의 근로조건보호를 위한 근로 상담(온라인,전화,카톡) 및 무료 권리구제, 노동법 교육 등 지원",고용노동부
433,주거,직업훈련생계비 융자,"총 140시간 이상 직업훈련(콘텐츠 재생형 원격훈련 제외)에 참여하는 비정규직근로자, 전직 실업자, 무급휴직자, 피보험자인 자영업자의 장기간 직업훈련에 따른 생계부담을 경감하고 직업훈련에 전념토록 하기 위해 장기 저리의 생계비 대부 지원",고용노동부
434,교육,단기집단상담프로그램,구직자가 취업의욕 고취 및 직업기초능력 향상 등 필요한 부분만을 선택하여 습득할 수 있도록 25명 내외로 구성하여 진행하는 체험·실습식 프로그램(과정별 3시간),고용노동부
435,일자리,해외취업아카데미,해외취업을 준비하는 청년들을 위한 해외취업 역량강화 교육,고용노동부
436,일자리,공정채용컨설팅,"청년들이 바라는 공정, 투명, 능력중심의 채용을 실시하도록 기업 컨설팅·면접 교육 등을 실시",고용노동부
437,교육,일반고 특화 직업능력개발훈련과정,대학 진학이 아닌 취업을 희망하는 일반계고 3학년생에게 맞춤형 직업능력개발훈련 기회 제공,고용노동부
438,일자리,K-Move 스쿨,"구인기업이 요구하는 어학 및 직무능력, 생활문화 등에 대한 맞춤형 교육(연수)과정 제공 후 해외취업 연계",고용노동부
439,교육,국가기간·전략산업직종 훈련,"고용센터 상담 결과 훈련 필요성이 인정되는 사람에게 국가기간·전략산업직종 훈련에 참여할 수 있도록 하고, 훈련비 전액을 지원",고용노동부
440,복지.문화,2030 무료 건강검진(청년 신체건강 인프라 확대),국가 건강검진의 사각지대에 있는 20-30대(취업준비생 포함) 청년들에게 무료 건강검진을 통해 건강관리 지원,보건복지부
441,일자리,국립예술단체 무대에서 꿈을 펼칠 청년예술가 260명 찾습니다,"□ 2. 22.~3. 15. 6개 국립예술단체와 국립국악원, 국립극장 청년 교육단원 통합 공모 □ 국립예술단체·기관 청년 교육단원 추가 도입, 지난해보다 3배 이상 확대 운영 □ 공공 무대 참여 기회, 활동 지원금, 실무교육 지원",문화체육관광부
442,교육,평생교육바우처 사업,학습자가 본인의 학습 요구에 따라 자율적으로 학습 활동을 결정하고 참여할 수 있도록 정부가 제공하는 평생교육 이용권입니다.,교육부
443,복지.문화,의료급여본인부담면제,의료급여 수급권자에 대한 의료비를 지원하여 저소득층 국민보건 향상과 사회복지 증진에 기여,보건복지부
444,복지.문화,재난적의료비 지원 사업,질병‧부상 등으로 가구의 부담능력을 넘어서는 과도한 의료비로 인한 경제적 부담을 겪는 가구에 의료비를 지원합니다.,필수의료총괄과
445,일자리,국내해외취업센터 운영,"해외취업 아카데미 및 상시채용관 운영(면접 지원), 온·오프라인 상담서비스 및 전략설명회 등 해외취업 상담·지원",고용노동부
446,일자리,고용유지지원금,"경영악화 등으로 고용조정이 불가피하게 된 사업주가 고용유지조치(휴업, 휴직, 무급휴업, 휴직 등)를 실시하는 경우 지원금을 지원함으로써 근로자의 실업 예방 및 생계안정 유지",고용노동부
447,복지.문화,직업 트라우마 센터 운영,"직장생활 중 다양한 사건/사고(중대재해, 동료의 자살, 직장 내 괴롭힘, 성희롱, 성폭력, 정신적 피해 등)로 정신적 외상(직업적 트라우마)를 겪은 사람에게 무료 심리상담 제공",고용노동부
448,복지.문화,청년문화예술패스,청년들의 문화소비를 확대할 수 있도록 지원하기위한 사업,□
449,교육,K-디지털 기초역량훈련,노동시장 참여자가 디지털 역량 부족으로 노동시장 진입/적응에 어려움을 겪지 않도록 디지털 기초역량 개발 지원,고용노동부
450,교육,첨단산업·디지털 핵심 실무인재 양성훈련(K-디지털 트레이닝),"AI, 빅데이터, 반도체 등 첨단산업·디지털 분야에서 핵심적인 역할을 담당할 인재를 양성하기 위해 고용노동부가 지원하는 훈련 과정",고용노동부
451,복지.문화,의료급여본인부담면제,의료급여 수급권자에 대한 의료비를 지원하여 저소득층 국민보건 향상과 사회복지 증진에 기여,보건복지부
452,복지.문화,청년마음건강지원사업,"청년의 심리정서 지원, 건강상 회복을 통한 삶의 질 향상과 심리적 문제 예방을 통한 건강한 사회구성원으로서 역할 촉진",□
453,복지.문화,정신건강복지센터 운영,"일반인은 물론 아동/청소년에게 발생할 수 있는 정신건강문제의 예방, 조기발견 및 상담, 치료, 재활을 통해 사회복귀를 도모합니다.",정신건강관리과
454,일자리,미래내일 일경험 사업,직무역량을 중시하는 채용 트렌드 변화에 대응하여 청년층의 일경험 수요를 충족하고 민·관협업을 기반으로 미취업 청년에 다양한 양질의 일경험 프로그램을 제공하여 노동시장의 원활한 진입을 지원,고용노동부
455,주거,국가장학금 Ⅱ유형(대학연계지원형),대학의 적극적인 등록금 부담완화 참여를 도모하기 위해 대학 자체노력과 연계하여 지원하는 장학금,교육부
456,주거,국가장학금Ⅰ유형(학생직접지원형),소득수준에 연계하여 경제적으로 어려운 학생들에게 보다 많은 혜택이 주어지도록 설계된 장학금,한국장학재단
457,일자리,미래내일 일경험 사업,직무역량을 중시하는 채용 트렌드 변화에 대응하여 청년층의 일경험 수요를 충족하고 민·관협업을 기반으로 미취업 청년에 다양한 양질의 일경험 프로그램을 제공하여 노동시장의 원활한 진입을 지원,고용노동부
458,복지.문화,정신건강복지센터 운영,"일반인은 물론 아동/청소년에게 발생할 수 있는 정신건강문제의 예방, 조기발견 및 상담, 치료, 재활을 통해 사회복귀를 도모합니다.",정신건강관리과
459,복지.문화,청년마음건강지원사업,"청년의 심리정서 지원, 건강상 회복을 통한 삶의 질 향상과 심리적 문제 예방을 통한 건강한 사회구성원으로서 역할 촉진",□
460,복지.문화,제대군인지원센터,"제대(예정) 군인의 사회정착 지원을 위해 직업능력개발, 취창업, 교육, 멘토링 등의 구직활동 지원",국가보훈부
